video_id,sentiment,subjectivity,has_named_entities,urgency,is_emotional,has_emojis,is_question,verb_tense,half_life_hour,length,title_num_tokens,channel_age,channel_video_count,country,channel_view_count,channel_num_subscribers,country_avg_half_life,title_category_Conflict,title_category_Economy,title_category_Health and Safety,title_category_Other,title_category_Politics,title_category_Science/Tech,title_category_Society,title_category_Sports,half_life_hour_cat,day_of_week,hour_of_publication
sqm_kMB6TiU,0,2,1,1,0,0,1,1,4,0.0203002826621636,0.5,0.9444444444444444,0.0659725345048255,United Kingdom,0.02742139478999,0.038749565508136,0.1522057566544769,0,0,0,0,0,0,0,1,0,0,12
s0rZr0eL33Q,0,0,1,1,0,0,0,1,8,0.0098381116699093,0.375,0.5555555555555555,0.1263758691065066,United Kingdom,0.1437923435960307,0.2180372096626088,0.1522057566544769,0,0,0,0,0,0,0,1,1,2,21
gtq-r7sHL0I,1,2,1,1,1,0,0,1,9,0.0106090084798649,0.28125,0.5555555555555555,0.1263758691065066,United Kingdom,0.1437923435960307,0.2180372096626088,0.1522057566544769,0,0,0,0,0,0,0,1,1,6,19
modBlGm68Cw,0,0,1,1,0,0,1,0,3,0.0175470797694651,0.4375,0.3888888888888888,0.4115673319727421,United Kingdom,0.0099238840948426,0.0523297343434625,0.1522057566544769,1,0,0,0,0,0,0,0,0,1,12
V6vMN3WLWt0,0,0,0,1,0,0,0,1,2,0.0100950772732278,0.15625,0.3888888888888888,0.4115673319727421,United Kingdom,0.0099238840948426,0.0523297343434625,0.1522057566544769,1,0,0,0,0,0,0,0,0,2,6
ggm8ck1amiQ,0,1,1,1,0,0,1,1,4,0.0638008883668,0.25,0.3888888888888888,0.4115673319727421,United Kingdom,0.0099238840948426,0.0523297343434625,0.1522057566544769,1,0,0,0,0,0,0,0,0,2,2
KjBq_7AKk5k,0,0,0,1,0,0,1,1,10,0.0093608898351749,0.375,0.5555555555555555,0.1263758691065066,United Kingdom,0.1437923435960307,0.2180372096626088,0.1522057566544769,0,1,0,0,0,0,0,0,1,2,15
LHT3-Ccjr5k,-1,2,1,2,1,0,1,0,4,0.0036709371902646,0.375,0.8888888888888888,0.1229928396001245,United Kingdom,0.0163208467600598,0.0665472396223242,0.1522057566544769,0,0,0,0,0,0,1,0,0,4,12
o8mqCweS8kY,1,1,1,1,0,0,0,1,11,0.0155647736867222,0.375,0.3888888888888888,0.4115673319727421,United Kingdom,0.0099238840948426,0.0523297343434625,0.1522057566544769,0,0,0,0,0,0,1,0,1,1,16
_KEktC8qlQ4,-1,2,1,2,1,0,0,1,9,0.0187217796703498,0.4375,0.3888888888888888,0.4115673319727421,United Kingdom,0.0099238840948426,0.0523297343434625,0.1522057566544769,0,0,0,0,1,0,0,0,1,2,20
7NWGPZcoM4w,0,2,0,0,1,0,0,1,11,0.017033148562828,0.25,0.5555555555555555,0.1263758691065066,United Kingdom,0.1437923435960307,0.2180372096626088,0.1522057566544769,0,0,0,0,0,0,1,0,1,2,15
IBYDcTwNprw,1,2,1,1,1,0,0,1,8,0.0082963180499981,0.4375,0.9444444444444444,0.0659725345048255,United Kingdom,0.02742139478999,0.038749565508136,0.1522057566544769,0,0,1,0,0,0,0,0,1,6,14
nP6ZWfMBDkA,1,2,1,1,1,0,0,1,11,0.0104254616203516,0.5625,0.9444444444444444,0.0659725345048255,United Kingdom,0.02742139478999,0.038749565508136,0.1522057566544769,0,0,0,0,0,0,0,1,1,5,2
3AeCdVgtHt4,1,1,1,0,1,0,0,2,9,0.0018354685951323,0.21875,0.5555555555555555,0.1263758691065066,United Kingdom,0.1437923435960307,0.2180372096626088,0.1522057566544769,0,0,0,1,0,0,0,0,1,3,19
m1XFqGnExfU,-1,2,0,2,1,0,0,1,4,0.0046620902316361,0.5,0.3888888888888888,0.4115673319727421,United Kingdom,0.0099238840948426,0.0523297343434625,0.1522057566544769,0,0,1,0,0,0,0,0,0,5,5
AwEAoJrFnCg,0,0,0,1,0,0,0,2,2,0.0149407143643772,0.3125,0.3888888888888888,0.4115673319727421,United Kingdom,0.0099238840948426,0.0523297343434625,0.1522057566544769,0,0,1,0,0,0,0,0,0,2,5
WGunXDxge24,0,2,1,0,0,0,0,1,8,0.0117837083807496,0.46875,0.5555555555555555,0.1263758691065066,United Kingdom,0.1437923435960307,0.2180372096626088,0.1522057566544769,0,0,0,1,0,0,0,0,1,4,20
vSZpUCOvQ4Q,0,2,1,0,0,0,1,1,4,0.0136558863477845,0.4375,0.2777777777777778,0.025102909128645,Libya,0.001192358722054,0.0063434586483858,0.1369817021990936,0,0,0,0,0,0,0,1,0,2,20
sXgsidcKumE,0,1,0,0,0,0,0,1,2,0.0152343893395983,0.09375,0.5555555555555555,0.0897402193088657,Libya,0.010084093026192,0.026346017799336,0.1369817021990936,0,0,0,1,0,0,0,0,0,2,19
yh2E3kiVBVc,0,1,0,0,0,0,0,1,9,0.0414081715061855,0.15625,0.5555555555555555,0.0897402193088657,Libya,0.010084093026192,0.026346017799336,0.1369817021990936,0,0,0,1,0,0,0,0,1,3,20
Ku6J9cs6lRw,-1,0,1,2,1,0,0,1,4,0.0508424800851657,0.3125,0.2777777777777778,0.025102909128645,Libya,0.001192358722054,0.0063434586483858,0.1369817021990936,0,1,0,0,0,0,0,0,0,6,19
yhq1FQnoN10,0,1,1,0,0,0,0,1,4,0.0064975588267684,0.28125,0.5555555555555555,0.0897402193088657,Libya,0.010084093026192,0.026346017799336,0.1369817021990936,0,0,0,1,0,0,0,0,0,2,21
IvVUb_IZCoo,0,2,1,0,0,0,1,1,4,0.0058367901325208,0.28125,0.5555555555555555,0.0897402193088657,Libya,0.010084093026192,0.026346017799336,0.1369817021990936,0,0,0,0,0,0,0,1,0,5,20
d5hWvrQ_3Cc,0,1,0,0,0,0,0,1,3,0.0046987996035387,0.125,0.5555555555555555,0.0897402193088657,Libya,0.010084093026192,0.026346017799336,0.1369817021990936,0,0,0,1,0,0,0,0,0,2,19
Nu3va1psAV0,0,1,0,0,0,0,0,1,9,0.0102419147608384,0.125,0.5555555555555555,0.0897402193088657,Libya,0.010084093026192,0.026346017799336,0.1369817021990936,0,0,0,1,0,0,0,0,1,0,20
-aiI1gQ2YGg,0,2,1,1,0,0,0,1,9,0.0057633713887155,0.4375,0.2777777777777778,0.025102909128645,Libya,0.001192358722054,0.0063434586483858,0.1369817021990936,0,0,0,0,0,0,0,1,1,4,19
va7Dj0DnJTA,-1,2,0,1,1,0,1,1,8,0.0271282258360559,0.28125,0.2777777777777778,0.025102909128645,Libya,0.001192358722054,0.0063434586483858,0.1369817021990936,0,0,0,0,0,0,1,0,1,4,19
OG2PnntXlds,0,1,0,0,0,0,0,1,9,0.037296721853089,0.15625,0.5555555555555555,0.0897402193088657,Libya,0.010084093026192,0.026346017799336,0.1369817021990936,0,0,0,1,0,0,0,0,1,5,20
xdhSnJ8OMNw,0,1,1,1,0,0,0,2,4,0.0044785433721229,0.28125,0.5555555555555555,0.1263758691065066,United Kingdom,0.1437923435960307,0.2180372096626088,0.1522057566544769,0,0,0,0,1,0,0,0,0,4,13
7_U1zUGHVuk,-1,2,0,2,1,0,0,1,4,0.0030835872398223,0.34375,0.3888888888888888,0.4115673319727421,United Kingdom,0.0099238840948426,0.0523297343434625,0.1522057566544769,0,0,1,0,0,0,0,0,0,5,7
VEJ2DSN9XQ4,0,0,1,1,0,0,0,1,4,0.0120773833559707,0.34375,0.8888888888888888,0.1229928396001245,United Kingdom,0.0163208467600598,0.0665472396223242,0.1522057566544769,1,0,0,0,0,0,0,0,0,0,19
